id,time,msg,type
1,2025-10-10T07:47:17.214118,Smart Surveillance started,info
2,2025-10-10T07:48:25.634376,Small flame/matchstick detected,fire
3,2025-10-10T07:48:25.849345,Small flame/matchstick detected,fire
4,2025-10-10T07:48:26.029445,Small flame/matchstick detected,fire
5,2025-10-10T07:48:26.229757,Small flame/matchstick detected,fire
6,2025-10-10T07:48:26.436303,Small flame/matchstick detected,fire
7,2025-10-10T07:48:31.164073,Small flame/matchstick detected,fire
8,2025-10-10T07:48:31.369709,Small flame/matchstick detected,fire
9,2025-10-10T07:48:31.569304,Small flame/matchstick detected,fire
10,2025-10-10T07:48:31.747864,Small flame/matchstick detected,fire
11,2025-10-10T07:48:31.954558,Small flame/matchstick detected,fire
12,2025-10-10T07:48:32.154169,Small flame/matchstick detected,fire
13,2025-10-10T07:48:32.347156,Small flame/matchstick detected,fire
14,2025-10-10T07:48:32.547491,Small flame/matchstick detected,fire
15,2025-10-10T07:48:32.743649,Small flame/matchstick detected,fire
16,2025-10-10T07:48:32.933847,Small flame/matchstick detected,fire
17,2025-10-10T07:48:33.138307,Small flame/matchstick detected,fire
18,2025-10-10T07:48:33.347377,Small flame/matchstick detected,fire
19,2025-10-10T07:48:33.536719,Small flame/matchstick detected,fire
20,2025-10-10T07:48:33.749298,Small flame/matchstick detected,fire
21,2025-10-10T07:48:33.926211,Small flame/matchstick detected,fire
22,2025-10-10T07:48:34.124709,Small flame/matchstick detected,fire
23,2025-10-10T07:48:34.337087,Small flame/matchstick detected,fire
24,2025-10-10T07:48:34.536204,Small flame/matchstick detected,fire
25,2025-10-10T07:48:34.737793,Small flame/matchstick detected,fire
26,2025-10-10T07:48:34.937099,Small flame/matchstick detected,fire
27,2025-10-10T07:48:35.100165,Small flame/matchstick detected,fire
28,2025-10-10T07:48:35.305555,Small flame/matchstick detected,fire
29,2025-10-10T07:48:35.513981,Small flame/matchstick detected,fire
30,2025-10-10T07:48:35.732841,Small flame/matchstick detected,fire
31,2025-10-10T07:48:35.938557,Small flame/matchstick detected,fire
32,2025-10-10T07:48:36.135043,Small flame/matchstick detected,fire
33,2025-10-10T07:48:36.336535,Small flame/matchstick detected,fire
34,2025-10-10T07:48:36.550550,Small flame/matchstick detected,fire
35,2025-10-10T07:48:36.755713,Small flame/matchstick detected,fire
36,2025-10-10T07:48:36.965578,Small flame/matchstick detected,fire
37,2025-10-10T07:48:37.175339,Small flame/matchstick detected,fire
38,2025-10-10T07:48:37.390458,Small flame/matchstick detected,fire
39,2025-10-10T07:48:37.630626,Small flame/matchstick detected,fire
40,2025-10-10T07:48:37.869792,Small flame/matchstick detected,fire
41,2025-10-10T07:48:38.097602,Small flame/matchstick detected,fire
42,2025-10-10T07:48:38.306818,Small flame/matchstick detected,fire
43,2025-10-10T07:48:38.489231,Small flame/matchstick detected,fire
44,2025-10-10T07:48:38.688255,Small flame/matchstick detected,fire
45,2025-10-10T07:48:38.892600,Small flame/matchstick detected,fire
46,2025-10-10T07:48:39.103540,Small flame/matchstick detected,fire
47,2025-10-10T07:48:39.303382,Small flame/matchstick detected,fire
48,2025-10-10T07:48:39.494998,Small flame/matchstick detected,fire
49,2025-10-10T07:48:39.672854,Small flame/matchstick detected,fire
50,2025-10-10T07:48:39.883248,Small flame/matchstick detected,fire
51,2025-10-10T07:48:40.079782,Small flame/matchstick detected,fire
52,2025-10-10T07:48:40.286435,Small flame/matchstick detected,fire
53,2025-10-10T07:48:40.497744,Small flame/matchstick detected,fire
54,2025-10-10T07:48:40.709425,Small flame/matchstick detected,fire
55,2025-10-10T07:48:40.905355,Small flame/matchstick detected,fire
56,2025-10-10T07:48:41.118209,Small flame/matchstick detected,fire
57,2025-10-10T07:48:41.318405,Small flame/matchstick detected,fire
58,2025-10-10T07:48:41.524408,Small flame/matchstick detected,fire
59,2025-10-10T07:48:41.735511,Small flame/matchstick detected,fire
60,2025-10-10T07:48:41.903914,Small flame/matchstick detected,fire
61,2025-10-10T07:48:43.550885,Small flame/matchstick detected,fire
62,2025-10-10T07:48:43.766166,Small flame/matchstick detected,fire
